County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries,Hospitalized
Bartow,GEORGIA,13015,34.36,-84.91,532,39,,
Lowndes,GEORGIA,13185,30.84,-83.27,532,4,,
Bibb,GEORGIA,13021,32.76,-83.86,525,34,,
Sumter,GEORGIA,13261,32.07,-84.22,502,49,,
Coweta,GEORGIA,13077,33.23,-84.82,484,11,,
Mitchell,GEORGIA,13205,31.37,-84.16,427,37,,
Houston,GEORGIA,13153,32.5,-83.56,415,20,,
Baldwin,GEORGIA,13009,32.99,-83.29,414,30,,
Newton,GEORGIA,13217,33.6,-83.85,406,11,,
Paulding,GEORGIA,13223,33.91,-84.83,397,13,,
Barrow,GEORGIA,13013,34.01,-83.83,377,21,,
Lee,GEORGIA,13177,31.73,-84.17,370,22,,
Thomas,GEORGIA,13275,30.79,-83.79,358,33,,
Floyd,GEORGIA,13115,34.47,-85.21,355,15,,
Tift,GEORGIA,13277,31.41,-83.39,355,22,,
Clarke,GEORGIA,13059,33.95,-83.39,332,15,,
Rockdale,GEORGIA,13247,33.66,-84.01,328,8,,
Coffee,GEORGIA,13069,31.59,-83.01,321,14,,
Walton,GEORGIA,13297,33.71,-83.8,317,21,,
Spalding,GEORGIA,13255,33.27,-84.27,307,24,,
Upson,GEORGIA,13293,32.96,-84.24,295,38,,
Columbia,GEORGIA,13073,33.6,-82.31,290,8,,
Fayette,GEORGIA,13113,33.29,-84.45,258,14,,
Butts,GEORGIA,13035,33.25,-83.89,255,26,,
Early,GEORGIA,13099,31.33,-84.94,254,31,,
Ware,GEORGIA,13299,31.21,-82.35,254,14,,
Worth,GEORGIA,13321,31.77,-83.97,254,21,,
Jackson,GEORGIA,13157,34.1,-83.78,247,7,,
Crisp,GEORGIA,13081,31.96,-83.77,240,10,,
Gordon,GEORGIA,13129,34.44,-84.7,234,17,,
Chattahoochee,GEORGIA,13053,32.3,-84.77,232,0,,
Decatur,GEORGIA,13087,30.74,-84.47,219,7,,
Terrell,GEORGIA,13273,31.82,-84.32,218,26,,
Walker,GEORGIA,13295,34.87,-85.29,210,1,,
Hancock,GEORGIA,13141,33.27,-82.97,201,29,,
Appling,GEORGIA,13001,31.76,-82.35,200,13,,
Dooly,GEORGIA,13093,32.2,-83.9,196,13,,
